"Anchorage","AK","Anchorage Municipality
 ",295570,291826,0.01,291826,0.08,0.26,0.07,0.49,0.66,0.06,0.08,0.08,0.02,0.08,0.08,0.63,0.78,0.09,0.17,0.92,0.32,30874,18.60,0.61,0.35,276200,105123,2.66,35580,75485,0.08,26731,0.30,-1,2914025,4482714,16096,933301,1704.68,171.20,3000,154786,147492,7294,4.70,5,0,12,14,2,6,0,0,1559,2488,10316,,,383,,3,2,-1,49,21,-1
"Badger","AK","Fairbanks North Star Borough
 ",-1,-1,-1,19482,0.09,0.30,0.05,0.48,0.84,0.03,0.05,0.02,0.00,0.06,0.05,0.81,0.81,0.02,0.05,0.94,0.18,2969,24.00,0.80,0.08,203000,6390,3.01,30238,82515,0.05,-1,-1,-1,-1,-1,-1,-1,65.63,296.80,5000,47675,45304,2371,5.00,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Bethel","AK","Bethel Census Area
 ",6219,6080,0.02,6080,0.10,0.33,0.05,0.48,0.23,0.01,0.65,0.03,0.00,0.07,0.02,0.23,0.74,0.02,0.46,0.90,0.23,434,8.10,0.52,0.29,216100,1679,3.40,29261,91302,0.08,567,0.25,-1,-1,63372,9949,-1,43.18,140.80,6520,7446,6444,1002,13.50,1,0,,1,2,6,0,0,1559,52,161,,,11,,3,2,-1,-1,-1,-1
"Chena Ridge","AK","Fairbanks North Star Borough
 ",-1,-1,-1,5791,0.06,0.24,0.06,0.47,0.84,0.01,0.06,0.02,-1,0.06,0.03,0.82,0.81,0.09,0.13,0.97,0.45,579,19.90,0.78,0.03,256700,2079,2.77,38166,87822,0.04,-1,-1,-1,-1,-1,-1,-1,36.47,158.80,12920,47675,45304,2371,5.00,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"College","AK","Fairbanks North Star Borough
 ",-1,-1,-1,12964,0.06,0.21,0.07,0.48,0.73,0.03,0.10,0.05,0.00,0.08,0.05,0.71,0.70,0.08,0.12,0.95,0.38,1250,16.30,0.63,0.30,224500,5055,2.59,35163,72602,0.10,844,0.30,-1,17895,201118,-1,41095,18.78,690.30,16750,47675,45304,2371,5.00,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Fairbanks","AK","Fairbanks North Star Borough
 ",32036,31535,0.02,31535,0.10,0.26,0.07,0.47,0.66,0.09,0.10,0.04,0.01,0.08,0.09,0.62,0.67,0.07,0.14,0.89,0.20,3510,13.30,0.38,0.49,197900,12215,2.42,27522,55409,0.11,2649,0.31,-1,355080,1185557,33695,155725,31.69,995.00,24230,47675,45304,2371,5.00,1,0,5,1,2,6,0,0,1559,268,1395,,,48,,3,2,-1,-1,-1,-1
"Gateway","AK","Matanuska-Susitna Borough
 ",-1,-1,-1,5552,0.08,0.31,0.06,0.49,0.85,0.01,0.04,0.02,0.01,0.06,0.04,0.83,0.88,0.04,0.07,0.96,0.32,611,31.20,0.87,0.09,261300,1769,3.07,35554,93563,0.03,-1,-1,-1,-1,-1,-1,-1,21.55,257.70,28200,41927,39210,2717,6.50,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Homer","AK","Kenai Peninsula Borough
 ",5085,5003,0.02,5003,0.06,0.22,0.15,0.51,0.89,0.00,0.04,0.01,0.00,0.05,0.02,0.88,0.79,0.04,0.12,0.96,0.34,546,13.60,0.60,0.23,257300,2172,2.21,31471,55603,0.09,1909,0.13,-1,-1,96109,16897,27542,13.83,361.80,33140,27251,25317,1934,7.10,1,0,1,1,2,6,0,0,1559,54,178,,,14,,3,2,-1,-1,-1,-1
"Juneau","AK","Juneau City and Borough
 ",32164,31275,0.03,31275,0.06,0.24,0.08,0.49,0.70,0.01,0.12,0.06,0.01,0.10,0.05,0.67,0.80,0.06,0.10,0.96,0.36,2704,15.20,0.65,0.33,299100,12379,2.46,37294,77465,0.06,3500,0.27,-1,-1,465334,15235,86874,2701.93,11.60,36400,18237,17455,782,4.30,1,0,2,2,2,6,0,0,1559,141,1446,,,48,,3,2,-1,-1,-1,-1
"Kalifornsky","AK","Kenai Peninsula Borough
 ",-1,-1,-1,7850,0.07,0.27,0.09,0.48,0.87,0.00,0.05,0.01,0.00,0.06,0.04,0.85,0.84,0.03,0.05,0.92,0.27,580,21.60,0.83,0.11,199600,3129,2.46,33210,73840,0.06,347,0.20,-1,17868,15659,-1,1872,68.87,114.00,37250,27251,25317,1934,7.10,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
