"Greenfield","WI","Milwaukee County
 ",36903,36720,0.01,36720,0.05,0.18,0.21,0.52,0.89,0.02,0.01,0.04,-1,0.02,0.08,0.83,0.87,0.06,0.11,0.90,0.25,3188,22.70,0.61,0.43,185400,16412,2.17,29225,50577,0.07,2818,0.26,-1,22445,858256,23818,-1,11.51,3190.30,31175,457848,424164,33684,7.40,1,0,,1,10,19,7.75,5,1573,51,1293,,,57,,14,41,-1,-1,-1,-1
"Hales Corners","WI","Milwaukee County
 ",7730,7692,0.01,7692,0.05,0.21,0.19,0.52,0.95,0.01,0.01,0.02,-1,0.01,0.04,0.92,0.91,0.02,0.03,0.91,0.37,608,19.60,0.65,0.33,230100,3156,2.41,32976,63808,0.07,668,0.22,-1,-1,225809,29751,23137,3.21,2396.30,32075,457848,424164,33684,7.40,0,0,,1,10,19,7.75,5,1573,7,157,,,17,,14,41,-1,-1,-1,-1
"Hartford","WI","Dodge County
 Washington County
 ",14277,14223,0.00,14223,0.08,0.27,0.14,0.51,0.95,0.01,0.01,0.01,-1,0.01,0.05,0.92,0.84,0.04,0.07,0.92,0.21,762,24.50,0.66,0.33,194700,5418,2.55,24856,56333,0.08,1315,0.19,1172117,27106,193205,14122,22526,7.94,1790.60,33000,46954,44093,2861,6.10,1,0,,1,10,19,7.75,5,1573,8,326,,,25,,14,41,-1,-1,-1,-1
"Hobart","WI","Brown County
 ",6254,6182,0.01,6182,0.06,0.27,0.13,0.51,0.78,0.01,0.18,0.01,0.00,0.03,0.02,0.77,0.95,0.01,0.05,0.96,0.36,424,16.50,0.93,0.07,220700,2190,2.78,44243,88191,0.03,431,0.08,-1,47966,8299,1364,-1,32.95,187.60,35150,141421,134016,7405,5.20,0,0,,0,10,19,7.75,5,1573,-1,-1,,,-1,,14,41,-1,-1,-1,-1
"Holmen","WI","La Crosse County
 ",9081,9005,0.01,9005,0.09,0.30,0.10,0.51,0.90,0.01,0.00,0.07,-1,0.02,0.01,0.90,0.80,0.06,0.08,0.93,0.28,602,21.80,0.74,0.19,163400,3149,2.76,23186,59972,0.10,995,"S",-1,12398,57527,7502,7318,5.20,1732.40,35450,67278,64330,2948,4.40,0,0,,2,10,19,7.75,5,1573,10,183,,,9,,14,41,-1,-1,-1,-1
"Howard","WI","Brown County
 Outagamie County
 ",17602,17399,0.01,17399,0.07,0.27,0.11,0.52,0.94,0.02,0.01,0.01,-1,0.02,0.02,0.92,0.85,0.02,0.05,0.94,0.24,1179,17.80,0.64,0.31,174800,6606,2.57,27832,62146,0.08,1342,0.30,322823,151796,272249,16591,25356,18.10,961.10,35950,141421,134016,7405,5.20,0,0,,0,10,19,7.75,5,1573,-1,-1,,,-1,,14,41,-1,-1,-1,-1
"Hudson","WI","St. Croix County
 ",12815,12729,0.01,12719,0.08,0.25,0.12,0.52,0.95,0.01,0.00,0.01,-1,0.02,0.03,0.93,0.81,0.04,0.05,0.94,0.39,918,24.40,0.66,0.27,210500,5414,2.29,32341,60833,0.07,1918,0.21,225394,-1,433668,35956,54378,6.53,1948.10,36250,60962,57695,3267,5.40,1,0,,1,10,19,7.75,5,1573,24,591,,,23,,14,41,-1,-1,-1,-1
"Jackson","WI","Washington County
 ",6779,6753,0.00,6753,0.07,0.24,0.12,0.51,0.97,0.01,0.00,0.01,0.00,0.01,0.02,0.96,0.90,0.06,0.08,0.89,0.31,494,24.90,0.77,0.26,207100,2806,2.35,30303,56969,0.02,480,0.22,254248,457896,41118,6634,5845,3.05,2217.70,37675,73756,69936,3820,5.20,0,0,,0,10,19,7.75,5,1573,7,40,,,12,,14,41,-1,-1,-1,-1
"Janesville","WI","Rock County
 ",63479,63575,0.00,63575,0.07,0.25,0.14,0.51,0.92,0.03,0.00,0.01,-1,0.02,0.05,0.89,0.85,0.04,0.07,0.89,0.22,5293,20.60,0.71,0.22,135200,25112,2.48,24009,49772,0.13,4501,0.23,10171312,1642344,1630579,25911,121126,33.86,1877.60,37825,78353,72822,5531,7.10,1,0,,2,10,19,7.75,5,1573,153,2245,,,99,,14,41,-1,-1,-1,-1
"Jefferson","WI","Jefferson County
 ",7997,7973,0.00,7973,0.07,0.24,0.16,0.50,0.91,0.01,0.00,0.01,0.00,0.02,0.12,0.86,0.85,0.07,0.11,0.88,0.17,458,23.40,0.59,0.35,159200,3175,2.36,22317,46274,0.09,623,"S",1124775,-1,105421,13394,8284,5.72,1393.60,37900,41723,39291,2432,5.80,0,0,,1,10,19,7.75,5,1573,18,287,,,14,,14,41,-1,-1,-1,-1
